OOV
x
ܡܢ
ܠܐ
ܕܝܢ
ܟܕ
ܗܘܐ
ܠܗ
ܥܠ
ܐܝܟ
ܓܝܪ
ܝ
ܕܠܐ
xx
ܗ̇ܘ
ܡܛܠ
ܘܠܐ
ܐܠܐ
ܐܦ
ܗܠܝܢ
ܗ̇ܝ
ܗܘ
ܐܠܗܐ
ܐ
ܗܘܘ
ܐܢܐ
ܗܕܐ
ܕܡܢ
ܐܘ
ܗ̣ܘ
ܗܢܐ
ܠܗܘܢ
ܐܢܬ
ܐܝܬܘܗܝ
ܚܕ
ܐܢܘܢ
ܕܐܠܗܐ
ܐܢ
ܡܕܡ
ܟܠ
ܬܘܒ
ܥܡ
ܒܗ
ܠܢ
ܠܘܬ
ܡ̇ܢ
ܠܘ
ܗܟܢܐ
ܐܝܬ
ܘܟܕ
ܗܝ
ܠܡ
ܡ̣ܢ
ܠܗ̇
ܕ
ܐܝܟܢܐ
ܗܘܬ
ܗܟܝܠ
ܠܝ
ܘܡܢ
ܠܟ
ܝx
ܕܐܦ
xxx
ܐܢܫ
ܒܪ
ܝܝ
ܒܝܕ
ܡܠܬܐ
ܡܪܝܐ
ܢ
ܒܬܪ
ܐܝܠܝܢ
ܡܫܝܚܐ
ܡܐ
ܐܡ̇ܪ
ܩܕܡ
ܘܐܦ
ܒܗ̇
ܗܘ̣ܐ
ܘܐܢ
ܕܝܠܗ
ܚܢܢ
1
ܡܢܗ
ܕܥܠ
ܕܐܝܬܘܗܝ
ܟܠܗܘܢ
ܐܝܬܝܗ̇
ܗ̇ܢܘܢ
ܐܢܬܘܢ
ܒܠܚܘܕ
ܪܒܐ
ܥܕܡܐ
ܗܢܘ
ܘܥܠ
ܟܠܗ
ܡܠܟܐ
ܐܡ̣ܪ
ܒܝܬ
ܕܐܝܟ
ܐܡܪ
ܠܐܠܗܐ
ܢܗܘܐ
ܕܟܕ
ܚܕܐ
ܘܠܘ
ܒܗ̇ܝ
ܗ̣ܘܐ
ܕܐܝܬ
ܥܠܘܗܝ
ܐܢܫܐ
ܐܪܥܐ
ܡܢܗܘܢ
ܐܒܐ
ܪܘܚܐ
2
ܗ̣ܝ
ܩܕܝܫܐ
ܒܪܢܫܐ
ܗܐ
ܡܪܢ
xܝ
ܘ
ܡܢܐ
ܘܐܝܟ
ܟܝܢܐ
ܒܪܐ
ܠܟܘܢ
ܙܒܢܐ
ܝܫܘܥ
ܒܢܝ̈
ܘܬܘܒ
ܡܪܝ
ܟܠܗܝܢ
ܬܡܢ
ܠܗ̇ܘ
ܕܟܠ
ܥܡܗ
ܡܕܝܢ
ܣܓܝܐܐ̈
ܘܐܡܪ
ܦܓܪܐ
ܕܗܠܝܢ
dd
ܐܚܪܢܐ
ܫܢܝܢ̈
ܠܥܠ
ܕܡܪܝܐ
ܥܡܐ
ܘܡܛܠ
ܕܗ̇ܘ
ܚܠܦ
ܐܦܠܐ
ܢܦܫܗ
ܕܠܘܬ
ܙ
ܐܘ̇
ܐܝܬܝܗܘܢ
ܩ
xxxx
ܛܒ
ܘܕܠܐ
ܕܠܘ
ܠܝܬ
ܕܡܫܝܚܐ
ܗܫܐ
ܒܗܘܢ
ܒܟܠ
ܗ
ܗܢܘܢ
ܠܒܪ
ܕܢܗܘܐ
ܚܝܐ̈
ܠܗܠܝܢ
ܨܝܕ
ܚܝܠܐ
ܡܘܬܐ
ܬܪܝܢ̈
ܬ
ܓܒܪܐ
3
ܟܝܬ
ܕܝܠܢ
ܢܦܫܐ
ܕܐܢ
ܗܪܟܐ
ܟܡܐ
ܟܠܗ̇
ܐܚܪܢܐ̈
ܕܒܗ
ܥܠܡܐ
ܕܐܡ̣ܪ
ܗܘܝ̈
ܕܒܝܬ
ܝܬܝܪ
ܠܘܩܒܠ
ܩܕܡܝܐ
ܕܗ̣ܘ
ܩܕܝܫܐ̈
,
ܢܡܘܣܐ
ܒܣܪܐ
ܕܡܛܠ
ܗ̇
ܗܘ̇
ܡܝܐ̈
ܐܝܢܐ
ܐܡܬܝ
ܥܠܝܗܘܢ
ܠܘܬܗ
ܫܡܝܐ
ܒܗܠܝܢ
ܕܡܪܢ
ܐܦܢ
ܐܝܟܐ
ܩܠܝܠ
ܡܟܝܠ
ܐ̇ܡܪ
ܡ
ܒܢܝܢܫܐ̈
ܕܥܠܡܐ
ܩܠܐ
ܠܟܠ
ܡܫܟܚ
ܫܘܒܚܐ
ܕܪܘܚܐ
ܟ
ܒܪܗ
ܕܚܕ
xdd
ܡܢܗ̇
ܬܗܘܐ
ܟܝܢܐ̈
ܒ
ܡܘܫܐ
ܗܝܕܝܢ
ܢܘܗܪܐ
ܘܗܟܢܐ
ܝܘܚܢܢ
ܕܡܠܬܐ
ܒܓܘ
ܠܐܝܠܝܢ
ܝܘܡܐ
ܗܘ̣ܘ
ܐܝܕܐ
ܘܟܠ
ܠܗ̇ܝ
ܢܒܝܐ
ܩ̇ܪܐ
ܥܠܬܐ
ܪ
ܠܗܝܢ
ܦܘܠܘܣ
ܕܐܒܐ
ܕܘܝܕ
ܠܗܕܐ
ܕܠܝܬ
ܐܠܘ
ܐܬܪܐ
ܝܬܝܪܐܝܬ
ܒܗܕܐ
ܡܕܝܢܬܐ
ܝ̇ܕܥ
ܕܥܡ
ܡܠܐ̈
ܐܠܗܝܐ
ܛܘܒܢܐ
ܥܡܡܐ̈
ܕܡܘܬܐ
ܣܓܝܐܬܐ̈
xܢ
ܕܐ
ܐܢܝܢ
ܕܒܝܕ
ܣܓܝܐܐ
ܗܘܝܬ
ܕܡܐ
ܗܝܡܢܘܬܐ
ܣܓܝ
ܒܗܢܐ
ܗܝ̇
0
ܒܪܡ
ܟܬܒܐ
ܘܐܡ̣ܪ
ܐܢܬܬܐ
ܒܢܝܐ̈
ܕܐܝܬܝܗ̇
ܐܡܪܝܢ
ܕܗܕܐ
ܕܡ̣ܢ
ܠܗܢܐ
ܪܒܬܐ
ܕܦܓܪܐ
ܕܗܢܐ
ܡܢܢ
ܕܝܠܗܘܢ
ܝܢ
ܡܠܟܘܬܐ
5
ܫܡܐ
ܕܐܡܪ
ܐܕܡ
ܐܟܚܕܐ
ܒܐܪܥܐ
ܕܝܠܝ
ܐܦܝܣܩܘܦܐ
ܫܪܪܐ
ܚ
ܥܒܕ
ܙ̇ܕܩ
̈
ܠܗ̇ܢܘܢ
ܚܕܝܘܬܐ
ܫܪܝܪܐ
ܠ
ܘܗܠܝܢ
ܘܐܦܠܐ
ܘܗܐ
